,mean
circumplex.arousal_avg,-0.10385120925341745
circumplex.valence_avg,0.6871116377040548
mood_avg,6.990063091482651
circumplex.arousal_std,0.8418921012139317
circumplex.valence_std,0.4605051011611866
mood_std,0.7207079723495752
activity,2.2437119338708844
appCat.builtin,1235.6950388936907
appCat.communication,2736.186754141238
appCat.entertainment,1184.1143377885785
appCat.finance,99.10112621359222
appCat.game,514.0525185185185
appCat.office,325.90604444444443
appCat.other,166.61258930190388
appCat.social,1392.255387733888
appCat.travel,276.94635167464116
appCat.unknown,141.9429137254902
appCat.utilities,102.72777594339624
appCat.weather,45.53132432432432
call,3.925675675675676
screen,6081.640869002432
sms,2.4649532710280373
