,RandomForest,Lasso,XGBoost,ExtraTrees,Average_Rank
circumplex.valence_avg,1.0,1.0,1.0,1.0,1.0
mood_avg_hist,2.0,2.0,2.0,2.0,2.0
mood_std,3.0,3.0,9.0,3.0,4.5
appCat.unknown,8.0,5.0,4.0,5.0,5.5
activity,4.0,9.0,11.0,9.0,8.25
circumplex.valence_std,21.0,7.0,6.0,4.0,9.5
appCat.utilities,7.0,13.0,5.0,13.0,9.5
appCat.social,5.0,10.0,16.0,10.0,10.25
appCat.weather,19.0,20.0,3.0,8.0,12.5
call,16.0,8.0,12.0,16.0,13.0
appCat.entertainment,12.0,15.0,13.0,12.0,13.0
circumplex.arousal_std,20.0,4.0,22.0,7.0,13.25
appCat.office,17.0,12.0,10.0,17.0,14.0
appCat.game,22.0,21.0,7.0,6.0,14.0
screen,9.0,19.0,14.0,15.0,14.25
circumplex.arousal_avg,14.0,6.0,23.0,14.0,14.25
appCat.other,10.0,21.0,17.0,11.0,14.75
appCat.travel,15.0,14.0,15.0,18.0,15.5
is_friday_or_saturday,23.0,11.0,8.0,22.0,16.0
appCat.builtin,6.0,18.0,21.0,19.0,16.0
sms,11.0,17.0,20.0,21.0,17.25
appCat.communication,18.0,16.0,18.0,20.0,18.0
appCat.finance,13.0,21.0,19.0,23.0,19.0
