id,date,circumplex.arousal_avg,circumplex.valence_avg,mood_avg,circumplex.arousal_std,circumplex.valence_std,mood_std,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,screen,sms
AS14.01,2014-02-26,-0.25,0.75,6.25,0.9574271077563381,0.5,0.5,,,,,,,,,,,,,,1.0,,2.0
AS14.01,2014-02-27,0.0,0.3333333333333333,6.333333333333333,1.7320508075688772,0.5773502691896258,0.5773502691896258,,,,,,,,,,,,,,,,
AS14.01,2014-03-21,0.2,0.2,6.2,0.8366600265340756,0.447213595499958,0.44721359549995804,3.0831523917559385,3139.218,6280.89,1007.456,49.544,,172.20600000000002,239.751,4508.5,915.445,,598.754,,6.0,17978.907000064843,
AS14.01,2014-03-22,0.6,0.5,6.4,0.8944271909999159,1.0,0.894427190999916,3.7900835078393302,731.429,4962.918,93.324,21.076,,,98.143,439.632,37.305,,117.62100000000001,,3.0,6142.160999536513,1.0
AS14.01,2014-03-23,0.2,0.8,6.8,0.8366600265340756,0.4472135954999579,0.8366600265340756,2.1411167370759547,1286.246,5237.319,94.346,43.403,,,72.82300000000001,900.839,,,30.086,30.386,,6773.832001447675,
AS14.01,2014-03-24,0.8,0.0,6.0,1.3038404810405297,0.7071067811865476,0.7071067811865476,1.895065346774351,866.956,9270.629,976.9709999999999,34.106,,3.01,66.558,3223.6259999999997,419.805,,178.732,,10.0,15047.351000547404,
AS14.01,2014-03-25,0.5,0.5,6.75,1.0,0.5773502691896257,0.9574271077563381,2.3609786973721625,1032.768,10276.751,68.206,43.054,,,178.81900000000002,1919.471,,235.223,222.893,,,21475.35499906539,1.0
AS14.01,2014-03-26,-0.2,0.6,6.6,1.3038404810405297,0.5477225575051661,0.5477225575051662,2.431399720081822,1167.497,8988.753,910.479,52.331,,,97.49799999999999,4592.059,,,33.365,,,16423.80100035667,
AS14.01,2014-03-27,0.2,0.8,7.0,1.0954451150103321,0.4472135954999579,0.0,3.5092341013201445,1229.327,6936.512,639.3389999999999,42.219,,182.451,58.532,935.381,47.314,,179.029,,2.0,17442.14999938011,1.0
AS14.01,2014-03-28,-0.6,0.6,6.4,0.5477225575051661,1.140175425099138,1.140175425099138,2.2967525192908833,8399.91,866.833,1005.403,89.166,233.036,,225.951,512.741,1133.009,,301.717,,5.0,4923.48899960518,
AS14.01,2014-03-29,0.2,1.0,8.0,0.8366600265340756,0.0,0.7071067811865475,1.6368674424448715,1952.63,2720.692,1627.429,,,,169.594,472.888,52.434999999999995,,600.637,,4.0,8322.6219997406,1.0
AS14.01,2014-03-30,-0.5,0.75,7.5,0.5773502691896257,0.5,0.5773502691896257,0.687301587301588,414.365,1298.505,1535.677,,,,74.003,167.685,,66.477,38.296,,,4523.2140009403265,
AS14.01,2014-03-31,0.0,0.6,7.4,1.0,0.5477225575051661,0.5477225575051661,1.6921315412013491,2961.4049999999997,5332.637,1758.92,41.254999999999995,51.176,,268.554,1350.655,183.381,29.29,210.305,,6.0,11836.834000349041,
AS14.01,2014-04-01,0.2,0.0,6.0,0.8366600265340756,1.0,1.0,2.842637825105664,1385.517,6095.526,1030.637,547.826,234.741,92.388,121.19,5040.067,1614.621,,517.636,,1.0,17173.906002044678,
AS14.01,2014-04-02,0.3333333333333333,0.6666666666666666,6.5,1.1547005383792517,0.5773502691896258,0.5773502691896257,2.4459986553173634,3614.349,6920.156,1343.376,247.777,,90.481,541.5409999999999,3428.792,,,341.371,,4.0,21358.510999917988,
AS14.01,2014-04-03,-1.2,0.0,6.4,0.4472135954999579,1.0,0.5477225575051662,1.181723345002586,2321.464,14438.082,1293.631,76.234,,,213.90200000000002,3154.241,19.082,,182.77200000000002,,4.0,21401.835000753403,
AS14.01,2014-04-04,0.2,0.4,6.2,0.8366600265340756,0.5477225575051662,0.44721359549995787,3.0405434689758195,1957.829,5481.628,1545.2269999999999,,,,176.801,2086.197,158.24099999999999,,128.692,,2.0,12379.411000013357,1.0
AS14.01,2014-04-05,-0.4,0.6,6.8,0.5477225575051661,0.5477225575051661,0.8366600265340756,2.856055252882692,8116.418,1885.409,76.369,,,,81.133,363.208,187.945,,118.956,,,3340.4309999942784,
AS14.01,2014-04-06,-0.75,0.5,6.5,0.5,0.5773502691896257,0.5773502691896257,1.5457871866192354,4548.662,3355.743,187.214,,114.406,,119.12,321.46000000000004,,,46.249,,4.0,7467.321999788283,
AS14.01,2014-04-07,-0.6666666666666666,0.25,6.5,0.5773502691896258,0.5,0.5773502691896257,1.2160949081836292,927.377,7355.015,447.121,46.128,,17.107,170.348,1475.418,60.247,,205.81100000000004,,1.0,9846.380999803541,
AS14.01,2014-04-08,-0.4,0.3333333333333333,6.6,0.5477225575051661,1.1547005383792517,0.8944271909999157,1.8078493982723638,892.689,9477.553,3466.4790000000003,19.131,,,209.514,2655.121,,,36.143,,1.0,15101.132001876831,
AS14.01,2014-04-09,-0.8,1.0,7.4,0.4472135954999579,0.0,0.5477225575051662,2.8892187487758902,1638.617,6177.076,940.77,,,,346.654,2826.35,,,577.3589999999999,,4.0,13558.28900098801,
AS14.01,2014-04-10,-0.4,0.8,7.4,1.140175425099138,0.4472135954999579,0.8944271909999159,1.8951145246773855,715.355,4881.411,1858.893,,1.059,23.195,107.91900000000001,1174.717,,,377.687,,7.0,9296.09899926186,
AS14.01,2014-04-11,-1.2,0.8,7.0,0.4472135954999579,0.4472135954999579,0.7071067811865476,1.9196688497534526,3369.031,3336.592,1976.138,94.093,,,51.452,596.807,34.234,,214.648,,,10526.846000194553,
AS14.01,2014-04-12,-0.75,0.75,7.25,1.2583057392117916,0.5,0.9574271077563381,1.733977475287636,302.446,6595.083,2186.482,,,,79.033,264.432,5.031,,352.392,,,11750.809000968928,
AS14.01,2014-04-13,-1.25,1.0,8.0,0.5,0.0,0.0,0.3365118949048974,447.415,1096.795,249.392,82.413,,,94.209,34.501999999999995,,,,,,2005.7509992122655,
AS14.01,2014-04-14,-1.2,0.6,7.2,0.8366600265340756,0.5477225575051661,0.8366600265340756,2.0132955472772207,961.581,6486.284,6265.556,89.32300000000001,,,145.096,2921.9849999999997,29.104,,986.014,,1.0,17985.44799923897,1.0
AS14.01,2014-04-15,0.0,0.8,6.4,0.7071067811865476,0.4472135954999579,1.3416407864998738,2.1626916667374063,1596.356,6224.231,944.5219999999999,13.043,,,110.41499999999999,4428.21,8.363,,279.793,,8.0,13585.222998380666,1.0
AS14.01,2014-04-16,0.75,0.5,7.2,0.5,0.7071067811865476,0.44721359549995787,2.7866480670509333,923.613,5175.016,426.734,,,,40.784,1912.852,,,223.587,,,12522.47499895096,1.0
AS14.01,2014-04-17,-0.4,0.6,6.6,1.3416407864998738,0.5477225575051661,0.5477225575051662,1.3660285601303237,552.201,11853.339,142.241,,,,53.763,2107.146,,,49.718,,2.0,15018.48000073434,
AS14.01,2014-04-18,-0.8,0.8,6.8,0.8366600265340756,0.4472135954999579,0.44721359549995787,2.256792160679426,1860.8980000000001,5341.657,774.354,119.163,,,47.789,1993.922,63.874,,88.68,,1.0,13490.728999614706,
AS14.01,2014-04-19,-0.2,1.0,7.8,0.447213595499958,0.0,0.44721359549995787,2.3863658813721664,946.1899999999999,2728.26,469.274,95.62899999999999,29.084,,31.482,396.672,128.89,,305.796,,1.0,13293.2480006218,
AS14.01,2014-04-20,-0.25,0.75,7.25,0.9574271077563381,0.5,0.4999999999999999,1.7207735899916672,897.086,4984.724,727.492,10.606,,,34.202,2237.742,,,121.035,,2.0,8343.518000364307,2.0
AS14.01,2014-04-21,-0.25,1.0,7.6,0.5,0.0,0.5477225575051662,2.448985415237932,3442.2319999999995,2004.347,74.88,33.266,,,58.049,428.972,68.278,,210.882,,2.0,3832.9909992218018,
AS14.01,2014-04-22,0.2,1.0,7.4,0.8366600265340756,0.0,0.5477225575051662,2.206309243735009,2212.954,11360.913,1101.017,38.452999999999996,,,63.16,1422.548,,,423.215,,2.0,15490.269999265669,
AS14.01,2014-04-23,0.2,1.0,7.6,0.8366600265340756,0.0,0.5477225575051663,1.1036565392103728,1130.8419999999999,8928.472,347.427,18.051,,,42.397999999999996,526.598,,,246.944,,1.0,14535.339999437334,
AS14.01,2014-04-24,-0.4,1.0,7.6,0.5477225575051661,0.0,0.5477225575051662,1.2216717166568232,1466.271,9692.133,4464.975,209.937,,,31.933,2688.536,51.184,,716.197,,1.0,22086.478000164043,
AS14.01,2014-04-25,-0.2,0.8,7.2,0.447213595499958,0.4472135954999579,0.8366600265340756,2.617465527283859,817.613,7279.144,650.832,21.070999999999998,,,68.84700000000001,2227.694,63.315999999999995,,347.974,,2.0,13973.941999673845,1.0
AS14.01,2014-04-26,-0.2,1.0,7.6,1.0954451150103321,0.0,0.5477225575051662,4.927721747357404,864.519,2567.857,125.556,27.266999999999996,,,46.205,2368.377,470.77299999999997,3.148,315.76300000000003,,3.0,15482.018999338148,4.0
AS14.01,2014-04-27,0.0,1.0,7.5,1.0,0.0,0.5773502691896258,0.6705363235772013,1291.314,2431.498,1510.221,,,,1056.684,27.47,,,60.338,,,5700.562000036243,
AS14.01,2014-04-28,-0.8,0.8,7.6,0.4472135954999579,0.4472135954999579,0.5477225575051661,0.4722077409215736,1312.001,4697.372,1548.438,465.253,,,72.584,2423.933,,,380.193,,2.0,10807.829999685284,
AS14.01,2014-04-29,-0.25,1.0,7.0,0.9574271077563381,0.0,1.0,2.4661979647081074,5289.913,3834.645,1562.533,,333.305,,40.472,411.485,41.982,,410.436,,,7873.291999101639,
AS14.01,2014-04-30,-0.4,0.75,7.8,0.8944271909999159,0.5,0.44721359549995787,3.6252350169779337,844.963,3550.618,504.86199999999997,375.022,,,185.783,89.166,272.798,,112.295,,1.0,9175.6049990654,
AS14.01,2014-05-01,-0.4,1.0,8.0,0.894427190999916,0.0,0.0,0.8895664355437688,1876.1129999999998,8191.41,470.866,1321.104,,28.098,44.43,4918.942,,,269.56899999999996,,7.0,15516.951998472214,4.0
AS14.01,2014-05-02,-0.2,1.0,7.6,0.8366600265340756,0.0,0.547722557505166,1.8561844631226165,795.436,7925.918,352.88800000000003,1069.748,,,32.443,771.266,,,11.083,,,15088.519000768661,
AS14.01,2014-05-03,-0.2,1.0,8.0,0.8366600265340756,0.0,0.0,1.721781237484129,753.2570000000001,4539.776,2761.95,296.313,,,40.569,205.602,143.631,30.102,125.605,,,8186.036000728605,1.0
AS14.01,2014-05-04,-0.5,1.0,8.0,0.5773502691896257,0.0,0.0,2.8600279759178058,1758.438,3381.6890000000003,928.406,,,,35.525,494.67699999999996,,,,,,5889.194999456405,
AS14.02,2014-03-16,0.0,0.0,6.333333333333333,1.0,1.0,0.5773502691896257,,2437.0460000000003,3151.8289999999997,88.392,,,,408.106,181.591,,,,,4.0,4902.626999616626,1.0
AS14.02,2014-03-17,0.5,0.5,6.75,1.2909944487358056,1.0,1.2583057392117918,1.1764789046522799,1229.347,4518.116,2511.178,,,,103.699,103.02799999999999,,,,,4.0,10159.769001245493,
AS14.02,2014-03-18,0.6,0.8,8.2,0.5477225575051662,0.4472135954999579,0.44721359549995787,5.267625222130501,2604.5209999999997,3933.081,88.943,,,,88.72200000000001,212.364,,,,,15.0,4512.4710013866425,1.0
AS14.02,2014-03-19,0.4,0.4,6.8,0.8944271909999159,0.8944271909999159,1.3038404810405297,7.575162164415436,1554.558,2596.989,196.139,,,,105.536,47.815,567.165,,,,5.0,8182.757000207905,1.0
AS14.02,2014-03-20,-0.5,0.75,7.25,1.2909944487358056,0.5,0.5,5.736599045048337,1777.977,2154.371,148.18,,,,86.857,131.598,,,,,10.0,4360.33400130272,1.0
AS14.02,2014-03-21,-0.75,0.75,7.5,0.5,0.5,1.0,6.951070197602579,2230.303,2858.446,459.604,,,,37.944,388.021,442.296,,,,10.0,11155.850999116892,1.0
AS14.02,2014-03-22,-1.0,-0.5,6.5,0.816496580927726,1.0,1.0,10.705048483989632,1930.2659999999998,1852.256,662.911,,,,43.204,408.66700000000003,780.617,,,,25.0,7589.562002897266,1.0
AS14.02,2014-03-23,-1.0,0.0,6.25,0.0,1.1547005383792515,0.4999999999999999,5.393943140670647,894.506,1839.8990000000001,388.098,,,,61.865,171.994,1263.189,,,,8.0,4528.527000665666,1.0
AS14.02,2014-03-24,0.2,-0.2,6.4,1.0954451150103324,1.0954451150103324,1.1401754250991378,3.746991900035999,1073.496,3012.181,532.013,,,,81.80799999999999,232.801,,,,,5.0,2766.6489994525905,
AS14.02,2014-03-25,-1.25,0.75,7.75,0.5,0.5,0.5,5.53232771655489,2806.931,2788.751,459.58899999999994,,,,50.375,148.447,,,,,7.0,4637.388000011446,
